userid,age,cmpexperience,cmphours,cmptype,condition,education,foundFastTargetFirst,inthours,latency,positionOfTarget,pubcmp,screen,sex,totalInteractions,search_strategy
a18142e4-3ac2-11e9-9176-e4434b0071f4,26_35,intermediate,5_to_8,laptop,Experiment4,HighSchool,FALSE,hourly,10968.08225,SouthEast,personal,13_15,Male,84,opportunistic_random
a2f30ade-3c77-11e9-b7f2-e4434b0071f4,26_35,expert,3_to_5,desktop,Experiment4,Bachelors,TRUE,daily,11660.99805,NorthWest,personal,23_25,Male,60,opportunistic_random
a836b598-3913-11e9-ab21-e4434b0071f4,18_25,intermediate,5_to_8,laptop,Experiment4,Associates,FALSE,daily,10063.85848,NorthWest,personal,17_21,Male,130,opportunistic_random
ad5cce2a-383e-11e9-a082-e4434b0071f4,26_35,expert,8_above,desktop,Experiment4,HighSchool,FALSE,hourly,1159.650286,SouthEast,personal,17_21,Male,202,opportunistic_random
b2421222-36ce-11e9-acb2-e4434b0071f4,18_25,intermediate,8_above,desktop,Experiment4,HighSchool,TRUE,daily,8500.140045,NorthWest,personal,23_25,Male,253,opportunistic_random
b7f9beee-3aad-11e9-8529-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment4,Masters,TRUE,hourly,8685.778104,SouthEast,personal,23_25,Female,158,opportunistic_random
bc850d00-3c5c-11e9-a57e-e4434b0071f4,26_35,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,daily,11259.70131,SouthEast,personal,25plus,Male,70,opportunistic_random
bd60fc6e-3ab5-11e9-a2af-e4434b0071f4,26_35,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,hourly,5021.35945,NorthWest,personal,23_25,Female,245,opportunistic_random
c595d6de-3aab-11e9-878a-e4434b0071f4,36_45,expert,5_to_8,laptop,Experiment4,Bachelors,TRUE,hourly,9996.526116,SouthEast,personal,13_15,Female,126,opportunistic_random
de47475a-3c48-11e9-8010-e4434b0071f4,18_25,expert,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,7183.875262,NorthWest,personal,13_15,Male,40,opportunistic_random
f42c4a76-3c65-11e9-bc8f-e4434b0071f4,46_55,expert,8_above,laptop,Experiment4,Bachelors,FALSE,hourly,323.4287055,SouthEast,personal,17_21,Female,99,opportunistic_random
f5b29fb8-3aac-11e9-929c-e4434b0071f4,26_35,expert,8_above,laptop,Experiment4,Bachelors,TRUE,hourly,7585.624129,SouthEast,personal,13_15,Female,105,opportunistic_random
f91cf2f8-3bd7-11e9-ab01-e4434b0071f4,26_35,intermediate,3_to_5,laptop,Experiment4,,TRUE,daily,13755.66737,NorthWest,personal,13_15,Female,47,opportunistic_random
fbfd3008-3c6f-11e9-8cc2-e4434b0071f4,36_45,expert,8_above,desktop,Experiment4,PhD,FALSE,hourly,8815.478834,SouthEast,personal,17_21,Male,61,opportunistic_random
fd3bf3c0-3be1-11e9-9c77-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment4,Associates,TRUE,hourly,13169.85913,NorthWest,personal,13_15,Female,103,opportunistic_random
035edc00-392a-11e9-81f4-e4434b0071f4,18_25,expert,8_above,desktop,Experiment4,HighSchool,TRUE,hourly,2897.035923,NorthWest,personal,23_25,Male,338,strategy_switch
041f6ae6-3c5a-11e9-91ff-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,Bachelors,TRUE,hourly,10099.59758,NorthWest,personal,17_21,Female,148,strategy_switch
0cf919ae-3841-11e9-9135-e4434b0071f4,36_45,,3_to_5,desktop,Experiment4,Associates,TRUE,hourly,285.7072196,NorthWest,personal,17_21,Male,39,strategy_switch
141ed520-3c5b-11e9-941d-e4434b0071f4,36_45,intermediate,8_above,desktop,Experiment4,Masters,TRUE,hourly,6046.732256,SouthEast,personal,17_21,Female,199,strategy_switch
14de372a-3b7b-11e9-9ecb-e4434b0071f4,26_35,intermediate,8_above,laptop,Experiment4,Masters,TRUE,hourly,11547.67232,NorthWest,personal,17_21,Female,259,strategy_switch
1d6346f2-3ab7-11e9-a43a-e4434b0071f4,26_35,expert,3_to_5,laptop,Experiment4,Bachelors,TRUE,daily,11896.42532,NorthWest,personal,13_15,Male,100,strategy_switch
219b1304-3c5a-11e9-af51-e4434b0071f4,36_45,intermediate,3_to_5,laptop,Experiment4,HighSchool,FALSE,hourly,7295.707236,NorthWest,personal,10_12,Male,170,strategy_switch
2c05afc4-3bde-11e9-a92b-e4434b0071f4,56plus,intermediate,5_to_8,desktop,Experiment4,Bachelors,TRUE,daily,12437.28785,NorthWest,personal,25plus,Female,789,strategy_switch
